"Word","Length"
"–","1.0"
"——","2.0"
"#","1.0"
"#NA","3.0"
"$","1.0"
"&","1.0"
"(blank)","7.0"
"(required)","10.0"
". ","2.0"
"{no","3.0"
"|","1.0"
">>","2.0"
"═══","3.0"
"═══.","4.0"
"═══1.","5.0"
"a","1.0"
"à","1.0"
"aber","4.0"
"able","4.0"
"about","5.0"
"above","5.0"
"accordingly","11.0"
"after","5.0"
"again","5.0"
"against","7.0"
"ago","3.0"
"ai","2.0"
"aie","3.0"
"aient","5.0"
"aies","4.0"
"ainda","5.0"
"Aires","5.0"
"ait","3.0"
"al","2.0"
"alem","4.0"
"algo","4.0"
"algunas","7.0"
"algunos","7.0"
"all","3.0"
"alle","4.0"
"allem","5.0"
"allen","5.0"
"aller","5.0"
"alles","5.0"
"already","7.0"
"als","3.0"
"also","4.0"
"alternate","9.0"
"although","8.0"
"always","6.0"
"am","2.0"
"ambas","5.0"
"ambos","5.0"
"AMJ","3.0"
"an","2.0"
"and","3.0"
"ander","5.0"
"andere","6.0"
"anderem","7.0"
"anderen","7.0"
"anderer","7.0"
"anderes","7.0"
"anderm","6.0"
"andern","6.0"
"anderr","6.0"
"anders","6.0"
"annoying","8.0"
"another","7.0"
"ante","4.0"
"antes","5.0"
"any","3.0"
"anymore","7.0"
"anyone","6.0"
"anything","8.0"
"ao","2.0"
"aonde","5.0"
"aos","3.0"
"aout","4.0"
"AP","2.0"
"apos","4.0"
"Application","11.0"
"Apr","3.0"
"April","5.0"
"aquele","6.0"
"aqueles","7.0"
"are","3.0"
"area","4.0"
"around","6.0"
"as","2.0"
"ask","3.0"
"asked","5.0"
"assim","5.0"
"assist","6.0"
"at","2.0"
"attached","8.0"
"au","2.0"
"auch","4.0"
"auf","3.0"
"Aug","3.0"
"August","6.0"
"aura","4.0"
"aurai","5.0"
"auraient","8.0"
"aurais","6.0"
"aurait","6.0"
"auras","5.0"
"aurez","5.0"
"auriez","6.0"
"aurions","7.0"
"aurons","6.0"
"auront","6.0"
"aus","3.0"
"aux","3.0"
"avaient","7.0"
"avais","5.0"
"avait","5.0"
"avec","4.0"
"avez","4.0"
"aviez","5.0"
"avions","6.0"
"avons","5.0"
"avr","3.0"
"Avril","5.0"
